"unique_id","old_relative_path","new_relative_path","folder","slug","sha256"
"U001","ChatGPT Image May 26, 2026, 03_49_36 AM (1).png","01_reference_renders/trixig_260526_u001_black-side-grip-a.png","01_reference_renders","black-side-grip-a","a816a8c2bd3e77bd3dc38aef3439a017e8ddf18b290b4c0e84e7651456e649e6"
"U002","ChatGPT Image May 26, 2026, 03_49_36 AM (2).png","01_reference_renders/trixig_260526_u002_black-side-grip-b.png","01_reference_renders","black-side-grip-b","aff5350255589e130507d5ffb661f09f4c9134a71c764390763f823aa658524b"
"U003","ChatGPT Image May 26, 2026, 03_49_36 AM (3).png","01_reference_renders/trixig_260526_u003_black-rear-angle.png","01_reference_renders","black-rear-angle","680a5ff256241ebeecadeb99b41590f697a37dc90ee64736af868140e6295a1a"
"U004","ChatGPT Image May 26, 2026, 03_49_36 AM (4).png","01_reference_renders/trixig_260526_u004_black-horizontal-top.png","01_reference_renders","black-horizontal-top","27506ff256a5e513c969d6eae25055e0b778ea3e9f3bc6b59a712efe25697893"
"U005","ChatGPT Image May 26, 2026, 03_49_36 AM (5).png","01_reference_renders/trixig_260526_u005_black-top-button.png","01_reference_renders","black-top-button","9d1f13a6d07a45855354bd5a28251418948c5bab789ef41cf73f3be3c75eab3e"
"U006","ChatGPT Image May 26, 2026, 03_49_36 AM (6).png","01_reference_renders/trixig_260526_u006_black-front-nozzle.png","01_reference_renders","black-front-nozzle","8df9c1e642192db5d7e6968dc83e420d6a71b8064f965fa90a5770dba0e6c52d"
"U007","ChatGPT Image May 26, 2026, 03_49_37 AM (7).png","01_reference_renders/trixig_260526_u007_black-rear-strap.png","01_reference_renders","black-rear-strap","9f8d3a69684290314720b33e8e3ec7a9adcf285f4a668ec5eb84fd3222b38347"
"U008","ChatGPT Image May 26, 2026, 03_49_37 AM (8).png","02_mechanics_cutaways/trixig_260526_u008_black-cutaway-side.png","02_mechanics_cutaways","black-cutaway-side","5080a4933ccd0c26605d19f01fa91c9d89c3717dbb353a814c8991e8bcf1b390"
"U009","ChatGPT Image May 26, 2026, 03_49_37 AM (9).png","02_mechanics_cutaways/trixig_260526_u009_black-exploded-parts.png","02_mechanics_cutaways","black-exploded-parts","720ea271bb0194e483078b33ed987e6da4a5947d87f83a0082bae141f9d55cc8"
"U010","ChatGPT Image May 26, 2026, 03_53_13 AM (1).png","01_reference_renders/trixig_260526_u010_black-side-simple-a.png","01_reference_renders","black-side-simple-a","013f6fde1293bfa649ee7f69d0ce416b24e14d70730c6fcd47253d5b955447a9"
