"action","old_path","new_path","sha256","bytes","reason"
"moved","fusion/.vscode/launch.json",".local_large_files/local_config/fusion/vscode/launch.json","b7d5c7d3c87e4f55c1ae7af6598aeefd85b54e73cc478260145c3acb8f247099","382","ignore_local_config"
"moved","gen_26_05/NAMING_PLAN.md","assets/generated/gen_26_05/NAMING_PLAN.md","d94a3a3b66b89c02c91cab47a7b6f2b99642a9046dab31147ef0d2fd849849d9","1370","move_generated_batch"
"moved","gen_26_05/rename_manifest.csv","assets/generated/gen_26_05/rename_manifest.csv","1f63d735da2899a055d15a53623e9e7f12ce1313cbe0eb9412c9b804afa13e04","56545","move_generated_batch"
"moved","gen_26_05/cleanup_manifest.csv","assets/generated/gen_26_05/cleanup_manifest.csv","0abc94693dc21ad7351d88fe7bca2f2e0f2234e8b8a3136c4393ff8fbcf91009","64399","move_generated_batch"
"moved","gen_26_05/duplicate_manifest.csv","assets/generated/gen_26_05/duplicate_manifest.csv","b49477d6f00c5a9001ee16d15c8ed4468a882b3f47631a6b2ea3216084f273a5","11205","move_generated_batch"
"moved","gen_26_05/03_process_boards/trixig_260526_u074_malet.png","assets/generated/gen_26_05/03_process_boards/trixig_260526_u074_malet.png","e89a9923691999c2ea40faf3af8f3c8b5c21ef571849ef312021e72baad83e7e","1411326","move_generated_batch"
"moved","gen_26_05/03_process_boards/trixig_260526_u048_parts-grid.png","assets/generated/gen_26_05/03_process_boards/trixig_260526_u048_parts-grid.png","dea0ec16e54630c6c210d014c2e3b617487e18bc93c87632661775417e12c6dc","1398004","move_generated_batch"
"moved","gen_26_05/03_process_boards/trixig_260526_u040_form-options.png","assets/generated/gen_26_05/03_process_boards/trixig_260526_u040_form-options.png","b7d1f51d866e24ac9903be334afea0f545b83336b4dcb770e97594b6de208eed","1250045","move_generated_batch"
"moved","gen_26_05/03_process_boards/trixig_260526_u044_body-layouts.png","assets/generated/gen_26_05/03_process_boards/trixig_260526_u044_body-layouts.png","68b5907e83627a488877f82eccf23fc70a4a5306c4dd1182c4e251d77b8ce5e0","1124655","move_generated_batch"
"moved","gen_26_05/03_process_boards/trixig_260526_u050_solid-shapes.png","assets/generated/gen_26_05/03_process_boards/trixig_260526_u050_solid-shapes.png","76a354a21e1cb44e80451e960da04c7a2f43a842e9903331fbdf37cb27dd6bdc","1082846","move_generated_batch"
"moved","gen_26_05/03_process_boards/trixig_260526_u041_control-zones.png","assets/generated/gen_26_05/03_process_boards/trixig_260526_u041_control-zones.png","fa12801b1a9b226cd83cddf1cf2400538e9e44699ec1c275f5e4859df4ce78df","909202","move_generated_batch"
"moved","gen_26_05/03_process_boards/trixig_260526_u047_parts-catalog.png","assets/generated/gen_26_05/03_process_boards/trixig_260526_u047_parts-catalog.png","3132d0c0011e5d533c94440b87481a2312fd05bb9c5d0653662599d732c6ff1d","1061104","move_generated_batch"
"moved","gen_26_05/03_process_boards/trixig_260526_u052_hovudfunksjon.png","assets/generated/gen_26_05/03_process_boards/trixig_260526_u052_hovudfunksjon.png","ba52e238d916c13c4168a634cb41107915f75b1dcc1e7014de6e17c5fed5aec7","1197443","move_generated_batch"
"moved","gen_26_05/03_process_boards/trixig_260526_u073_delfunksjonar.png","assets/generated/gen_26_05/03_process_boards/trixig_260526_u073_delfunksjonar.png","28f7167ad121a8342f0fdfa962040c1d8acf56e10b55cb5ec700a1e70a1609e4","1235042","move_generated_batch"
"moved","gen_26_05/04_decision_boards/trixig_260526_u061_forbodne-rom.png","assets/generated/gen_26_05/04_decision_boards/trixig_260526_u061_forbodne-rom.png","ca6d73819ccb9e9851cd17c68f12a1405649f771c36e7d0269897ef773a344c1","1478271","move_generated_batch"
"moved","gen_26_05/03_process_boards/trixig_260526_u035_variant-panels.png","assets/generated/gen_26_05/03_process_boards/trixig_260526_u035_variant-panels.png","c6260ba679261882e8f2592d3a0783656e86b3fcdaa2dcdf38288bc6951b5306","1343855","move_generated_batch"
"moved","gen_26_05/03_process_boards/trixig_260526_u038_feature-matrix.png","assets/generated/gen_26_05/03_process_boards/trixig_260526_u038_feature-matrix.png","d1d89e85446d0a7b9f1e578b79e28c755c23bb4588aee12a849ac29d3db972a6","1520075","move_generated_batch"
"moved","gen_26_05/03_process_boards/trixig_260526_u072_sectioned-form.png","assets/generated/gen_26_05/03_process_boards/trixig_260526_u072_sectioned-form.png","b3168470b4df4149572d5bd630591e90eef829f2bde86ba6c7ab84dd6b1d0a58","1422694","move_generated_batch"
"moved","gen_26_05/04_decision_boards/trixig_260526_u054_tjalve-modell.png","assets/generated/gen_26_05/04_decision_boards/trixig_260526_u054_tjalve-modell.png","52e12207a710b5f151cc5c851bc5158e2634682fd76258db55b530a20432546d","927402","move_generated_batch"
"moved","gen_26_05/03_process_boards/trixig_260526_u042_tjalve-overview.png","assets/generated/gen_26_05/03_process_boards/trixig_260526_u042_tjalve-overview.png","2c825df98d2d1f16261e2589172ad174f977cb043ada52e17e55ea6c2c648525","1342064","move_generated_batch"
